Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-202670,"ERKs are inactivated",3,15,0,0,0.0010669322142399886,7.98177239977993E-4,0.0790195467578213,2,2,1.6688918558077436E-4,9606,Homo sapiens,"DUSP4;PPP2R1B;DUSP6","",,,"R-HSA-199959;R-HSA-203797"
R-HSA-8951911,"RUNX3 regulates RUNX1-mediated transcription",2,4,0,0,2.8451525713066365E-4,0.0010727583135805574,0.09762100653583072,2,2,1.6688918558077436E-4,9606,Homo sapiens,"RUNX1","",,,"R-HSA-8951926;R-HSA-8951910"
R-HSA-5635851,"GLI proteins bind promoters of Hh responsive genes to promote transcription",3,8,0,15,5.690305142613273E-4,0.0026853886949886885,0.22557265037904983,4,4,3.337783711615487E-4,9606,Homo sapiens,"HHIP;GLI1","",,,"R-HSA-5635846;R-HSA-5635853;R-HSA-5635848;R-HSA-5635850"
R-HSA-8939242,"RUNX1 regulates transcription of genes involved in differentiation of keratinocytes",3,11,0,20,7.82416957109325E-4,0.006138258446764189,0.4787841588476067,8,8,6.675567423230974E-4,9606,Homo sapiens,"SERPINB13;RUNX1","",,,"R-HSA-8938121;R-HSA-8938108;R-HSA-8955885;R-HSA-8955822;R-HSA-8938063;R-HSA-8955748;R-HSA-8955893;R-HSA-8938053"
R-HSA-9013508,"NOTCH3 Intracellular Domain Regulates Transcription",5,36,2,70,0.0025606373141759727,0.00761715698002996,0.5560524595421871,21,22,0.001835781041388518,9606,Homo sapiens,"HEY1;MAML2;PBX1","ENSG00000164683;Q9Y5J3;ENSG00000185630;P40424;Q8IZL2",ATXN1;MEIS2,P40424;Q06330,"R-HSA-9021480;R-HSA-9021451;R-HSA-9021450;R-HSA-9018538;R-HSA-9021325;R-HSA-9016751;R-HSA-9018542;R-HSA-9013568;R-HSA-9021412;R-HSA-9021478;R-HSA-9016861;R-HSA-9014141;R-HSA-9013631;R-HSA-9013567;R-HSA-9021406;R-HSA-9014129;R-HSA-9013488;R-HSA-9016916;R-HSA-9013652;R-HSA-9017398;R-HSA-9021334"
R-HSA-75892,"Platelet Adhesion to exposed collagen",4,16,1,58,0.0011380610285226546,0.00944773758632711,0.6424461558702435,5,6,5.006675567423231E-4,9606,Homo sapiens,"COL1A1;ITGA10;ITGA2;ITGA1","P02452;P17301;O75578;P56199",CD24,P07948,"R-HSA-114577;R-HSA-432295;R-HSA-114563;R-HSA-114671;R-HSA-114670"
R-HSA-139915,"Activation of PUMA and translocation to mitochondria",2,10,1,5,7.11288142826659E-4,0.013857343372718045,0.8243109973782252,5,5,4.1722296395193593E-4,9606,Homo sapiens,"TFDP2;TP63","Q14188;Q9H3D4",BCL2,Q9BXH1,"R-HSA-139914;R-HSA-139913;R-HSA-4331340;R-HSA-4331324;R-HSA-140221"
R-HSA-1638091,"Heparan sulfate/heparin (HS-GAG) metabolism",4,88,0,7,0.0062593356568746,0.026880285372860246,0.8243109973782252,9,32,0.0026702269692923898,9606,Homo sapiens,"EXT1;XRCC4;DCN;HS3ST1","",,,"R-HSA-2076383;R-HSA-1889981;R-HSA-2022856;R-HSA-1889978;R-HSA-2076392;R-HSA-2022919;R-HSA-2022851;R-HSA-1878002;R-HSA-1889955"
R-HSA-500657,"Presynaptic function of Kainate receptors",2,23,0,0,0.0016359627285013158,0.03064607061870206,0.8243109973782252,1,2,1.6688918558077436E-4,9606,Homo sapiens,"PLCB1;GNG11","",,,"R-HSA-500717"
R-HSA-9022702,"MECP2 regulates transcription of neuronal ligands",2,13,0,11,9.246745856746568E-4,0.03311571145564329,0.8243109973782252,2,8,6.675567423230974E-4,9606,Homo sapiens,"BDNF","",,,"R-HSA-9006122;R-HSA-9006050"
R-HSA-1306955,"GRB7 events in ERBB2 signaling",2,6,0,22,4.2677288569599545E-4,0.038278346597308444,0.8243109973782252,1,1,8.344459279038718E-5,9606,Homo sapiens,"NRG1","",,,"R-HSA-1306953"
R-HSA-3772470,"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",2,15,0,14,0.0010669322142399886,0.04096721123897995,0.8243109973782252,3,5,4.1722296395193593E-4,9606,Homo sapiens,"KREMEN1;SOST","",,,"R-HSA-3769401;R-HSA-5368586;R-HSA-3769397"
R-HSA-2024101,"CS/DS degradation",2,29,0,0,0.0020627356141973115,0.04654999304299601,0.8243109973782252,3,9,7.510013351134847E-4,9606,Homo sapiens,"XRCC4;DCN","",,,"R-HSA-1793176;R-HSA-2022056;R-HSA-2065233"
R-HSA-114452,"Activation of BH3-only proteins",4,36,2,90,0.0025606373141759727,0.04958250246619156,0.8243109973782252,18,19,0.0015854472630173564,9606,Homo sapiens,"TFDP2;DLC1;BCL2;TP63","P63167;P10415;Q14188;Q9H3D4",DLC1;BCL2,Q96LC9;O43521;Q13794;Q9BXH1;Q92934;P55957,"R-HSA-139906;R-HSA-139905;R-HSA-139908;R-HSA-139909;R-HSA-139914;R-HSA-198347;R-HSA-139913;R-HSA-139918;R-HSA-139919;R-HSA-4331340;R-HSA-140214;R-HSA-139899;R-HSA-140216;R-HSA-140217;R-HSA-139897;R-HSA-4331327;R-HSA-4331324;R-HSA-140221"
